cole_cod_dane_establecimiento,cole_nombre_establecimiento,cole_naturaleza,cole_mcpio_ubicacion,anio,n_estudiantes,prom_global,prom_matematicas,prom_lectura_critica,prom_c_naturales,prom_sociales,prom_ingles,percentil_prom_global
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,OFICIAL,CARTAGENA DE INDIAS,2022,86,204.5,39.8,44.4,39.8,38.9,42.9,23.6
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,OFICIAL,CARTAGENA DE INDIAS,2023,83,204.8,40.9,44.4,40.0,38.6,40.8,21.2
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,OFICIAL,CARTAGENA DE INDIAS,2024,70,224.2,45.5,46.8,44.7,42.6,44.4,32.0
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,OFICIAL,CARTAGENA DE INDIAS,2025,76,219.6,43.7,47.8,41.8,41.1,48.1,28.6
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,OFICIAL,CARTAGENA DE INDIAS,2021,120,218.5,43.5,47.9,42.4,40.6,44.9,33.8
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,OFICIAL,CARTAGENA DE INDIAS,2022,121,228.9,45.4,49.5,44.5,42.7,48.8,38.1
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,OFICIAL,CARTAGENA DE INDIAS,2023,96,234.0,45.4,50.9,46.5,43.7,49.3,38.1
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,OFICIAL,CARTAGENA DE INDIAS,2024,141,237.4,47.6,51.8,46.7,43.3,49.2,38.9
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,OFICIAL,CARTAGENA DE INDIAS,2025,138,244.5,47.7,53.0,48.9,45.1,52.0,41.7
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,OFICIAL,CARTAGENA DE INDIAS,2021,92,208.7,41.3,45.8,40.5,39.6,40.7,28.8
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,OFICIAL,CARTAGENA DE INDIAS,2022,99,219.4,43.5,47.6,43.1,41.5,43.3,33.4
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,OFICIAL,CARTAGENA DE INDIAS,2023,85,224.2,43.8,48.5,43.9,42.9,45.6,32.9
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,OFICIAL,CARTAGENA DE INDIAS,2024,95,221.9,43.3,47.6,44.5,42.3,44.0,30.6
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,OFICIAL,CARTAGENA DE INDIAS,2025,67,242.9,48.5,52.0,47.5,46.0,50.0,42.4
113001002812,INSTITUCION EDUCATIVA MARIA REINA,OFICIAL,CARTAGENA DE INDIAS,2021,133,212.8,42.3,46.4,41.7,40.0,42.1,31.1
113001002812,INSTITUCION EDUCATIVA MARIA REINA,OFICIAL,CARTAGENA DE INDIAS,2022,101,226.0,44.7,48.9,45.0,42.3,45.1,36.5
113001002812,INSTITUCION EDUCATIVA MARIA REINA,OFICIAL,CARTAGENA DE INDIAS,2023,111,221.9,43.3,48.2,43.6,42.2,45.0,31.3
113001002812,INSTITUCION EDUCATIVA MARIA REINA,OFICIAL,CARTAGENA DE INDIAS,2024,102,232.2,46.3,50.5,46.6,42.2,46.7,35.8
113001002812,INSTITUCION EDUCATIVA MARIA REINA,OFICIAL,CARTAGENA DE INDIAS,2025,163,215.7,42.4,47.2,43.3,39.2,44.6,26.6
113001002952,INSTITUCION EDUCATIVA DE TERNERA,OFICIAL,CARTAGENA DE INDIAS,2021,77,231.1,44.9,50.3,44.9,44.8,46.3,41.4
113001002952,INSTITUCION EDUCATIVA DE TERNERA,OFICIAL,CARTAGENA DE INDIAS,2022,71,240.6,46.9,52.8,47.0,46.1,46.9,45.0
113001002952,INSTITUCION EDUCATIVA DE TERNERA,OFICIAL,CARTAGENA DE INDIAS,2023,75,249.4,49.7,53.5,48.8,47.6,49.4,47.7
113001002952,INSTITUCION EDUCATIVA DE TERNERA,OFICIAL,CARTAGENA DE INDIAS,2024,74,249.5,49.6,54.6,48.8,46.3,51.3,46.0
113001002952,INSTITUCION EDUCATIVA DE TERNERA,OFICIAL,CARTAGENA DE INDIAS,2025,85,256.8,51.1,55.2,50.7,47.5,54.4,48.3
113001002979,INSTITUCION EDUCATIVA LA MILAGROSA,OFICIAL,CARTAGENA DE INDIAS,2021,46,226.8,46.9,48.7,43.1,42.6,45.7,39.2
